function	G2N01	G2N02	G2N03	G2N04	G2N05	G2N06	G2N07	G2N08	G2N09	G2N10	G2N11	G2N12	G2P01	G2P02	G2P03	G2P04	G2P05	G2P06	G2P07	G2P08	G2P09	G2P10	G2P11	G2P12	G5N01	G5N02	G5N03	G5N04	G5N05	G5N06	G5N07	G5N08	G5N09	G5N10	G5N11	G5N12	G5P01	G5P02	G5P03	G5P04	G5P05	G5P06	G5P07	G5P08	G5P09	G5P10	G5P11	G5P12	NC01	NC02	NC03	NC04	NC05	PCRN	PCRP	PM01	PM02	PM03	SC01	SC02
TYROSINE-AMINOTRANSFERASE-RXN	48806.72	46216.03999999999	37883.06999999999	32386.460000000003	33236.12	46848.95	21229.62	35618.24	37594.81	73896.08	35928.97	31057.35	53375.54	50439.58	38900.67	41813.03	30005.03	63425.36	46374.9	38904.64	29947.6	37646.2	69926.56	27895.64	29085.46	49431.51	69118.33	87104.88	77556.34	31658.44	41852.100000000006	43059.17	41238.46	31270.1	35227.23	43003.08	34263.08	44313.4	40560.85	70993.48	42347.66	41727.39	29629.25	37892.850000000006	26590.439999999995	21307.92	39426.920000000006	21467.01	844.17	8179.269999999999	4398.51	7463.59	3629.89	4287.83	76533.01	3977.03	2118.92	5419.289999999999	17942.82	14045.68
TYROSINE-DECARBOXYLASE-RXN	958.66	1010.83	1630.5	2241.67	3307.33	4752.83	223.33	796.83	1923.34	77.67	1572.0	1525.83	817.3299999999999	5121.66	727.0	1268.67	222.67	3067.5	1601.33	1544.17	970.67	4359.0	933.67	823.1700000000001	138.0	529.0	65.5	19.0	8.0	76.0	59.0	35.5	14.0	126.5	70.34	20.67	34.17	4.0	6.0	1.67	29.0	7.5	72.0	6.5	47.17	7.67	26.5	6.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	106.83	51.0	150.0	167.0	250.0
TYROSINE-PHENOL-LYASE-RXN	15.0	13.5	19.0	42.0	101.0	108.0	16.0	13.0	31.0	9.5	41.0	37.5	65.0	128.0	68.0	78.5	181.0	100.0	65.0	49.5	42.0	57.5	80.5	49.0	0.0	1.5	4.0	0.0	3.0	4.5	0.0	2.0	1.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	88.0	109.0	127.0	308.17	365.0
UDP-ARABINOSE-4-EPIMERASE-RXN	6912.41	7651.7	7950.15	7299.55	19015.8	16327.54	2751.75	6090.86	9348.25	6480.0	11723.42	9897.6	6120.75	13511.58	8134.5	10599.08	5893.97	11806.33	10726.42	11011.9	8213.91	11241.91	18992.33	7366.34	4549.92	6521.25	9544.75	7727.33	7415.83	5827.66	5257.42	5569.5	3854.58	3678.59	4096.58	5099.58	5276.0	4121.83	5741.33	6288.5	5448.0	5435.83	4078.08	2912.75	3191.17	2959.25	3542.66	2731.0	83.67	72.33	61.0	7734.5	1687.67	364.0	4.0	1314.4	477.17	1532.72	23267.0	24094.42
UDP-GLUCOSE-46-DEHYDRATASE-RXN	10.0	90.75	54.0	95.75	118.5	227.5	13.25	41.5	50.75	18.0	94.75	65.5	32.75	216.25	111.5	100.5	55.75	113.0	111.75	142.25	88.5	89.75	163.5	72.75	28.5	32.25	13.5	10.25	10.0	29.25	19.5	19.25	13.5	20.5	21.0	13.25	34.25	20.0	44.75	34.75	28.25	48.75	14.25	27.0	21.0	14.25	3.75	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	0.0	27.25	119.5	65.75
UDP-GLUCURONATE-4-EPIMERASE-RXN	82421.47	109493.22	97467.47	101633.16000000002	111021.7	161192.88000000003	41806.08	79602.84999999999	96653.49	90957.44	127891.7	108168.8	82618.79000000001	158962.55000000002	93874.7	108926.22	70890.57	143474.01	109014.68	116316.26	88663.09000000001	109449.56	176378.63999999998	78212.63	66235.04	89513.93999999999	93935.63	100112.79	98845.46	76339.11	74945.76	72302.69	72071.14	61074.16	73983.96	65446.27	86050.47	80630.06	85175.77	114414.13	88225.66999999998	87377.92000000001	62122.4	67157.27	64354.05	59511.75000000001	73579.37	47780.45	1085.27	17726.56	11981.53	26299.6	6757.38	5980.44	41.62	77546.53	81862.22	68826.42	104620.12	90504.89
UDP-GLUCURONATE-DECARBOXYLASE-RXN	46643.67	46923.63	43468.41	55700.13999999999	45196.94000000001	71551.12	26542.17	42327.56	44126.99	44826.51	62183.54	53661.4	33838.170000000006	66446.57	33095.91	43257.51	42421.51	60013.47	43247.37	56812.02000000001	39740.14	49340.13	69029.77	31170.92	22795.74	32716.22	36720.55	38576.9	35811.16	27446.03	27375.26	27546.01	21423.44	19441.27	23721.67	24096.68	32061.08	31241.5	33744.41	47261.99	38665.34	38737.13	25027.03	26404.15	23220.92	22302.97	27754.33	18437.94	340.17	4452.29	3192.83	7642.84	1791.66	1330.83	14.8	25654.39	12357.64	36990.16	35664.17	31941.15
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	20086.16	21465.66	16486.28	13263.35	11341.34	19386.25	10735.41	15187.51	16822.04	36238.9	15198.89	14435.44	24586.76	25499.5	24135.11	25455.81	22301.11	34479.36	23934.44	19711.69	17964.86	22332.83	34256.72	15129.41	5676.86	9412.27	14085.68	12966.64	14545.39	6177.55	8934.34	9184.01	7132.48	7521.73	10654.76	8613.75	5879.28	9055.24	8425.35	16917.88	11446.43	9967.68	6347.23	8359.41	5858.209999999999	5035.59	10772.87	3796.29	8.5	1207.33	709.8299999999999	1183.0	251.83	265.99	9.17	2492.0	1111.0	3911.16	3324.65	2873.0
UDP-NACMUR-ALA-LIG-RXN	212164.17000000004	243433.21	214927.05	243327.27	232037.89	293939.54	142332.69	202241.91	227018.21	267186.51	261194.16	233973.14	259097.21	314650.72000000003	270783.27	302609.07000000007	301900.53	308006.56999999995	226450.16	252027.5	230332.4	237941.66	320224.64	164901.46999999997	240313.83	259840.8	240331.9	312927.78	262856.66	246397.01	233115.56000000003	218394.33	277583.44000000006	226944.96	290367.77	200836.23	257427.52	253950.79	252833.69	312306.65	303575.39	271054.31	208401.13	215325.91000000003	253325.05	269667.29	263276.33	149472.94	2389.27	37377.05	26245.82	73782.31	18513.07	12557.36	76650.46	242103.16	179963.57000000004	262621.06	265542.67	244769.3
UDP-NACMURALA-GLU-LIG-RXN	217911.04	262909.58	224760.78	259541.23	241367.65	312091.5	144882.7	207359.81	232766.09000000003	265942.44999999995	278013.89	243785.44	246395.33	331689.03	265881.39	299238.75	286829.19	318562.55	231861.01	263868.4	232046.77	241633.61	331384.42	171526.44999999998	228865.67	253020.32	229611.78	299179.21	249558.52	238998.19	224841.59	210930.59	266514.01	221905.12	278818.63	192592.26	246080.53	241663.54	245112.44000000003	301240.33	290991.85	261801.84	197968.94	206508.09000000003	243156.37	257737.0	250520.25	145186.99	2349.85	37331.72	26000.57	73381.81	18614.9	12188.36	76640.46	239405.16	179291.40000000002	259559.39	272295.92	251062.63
UDP-NACMURALGLDAPAALIG-RXN	217920.28	264024.29	226202.88	261596.04	245310.39	314541.86000000004	146136.87	209349.95	235963.33	268280.02	281660.82	247495.32	247804.5	334411.70000000007	267397.08	300702.25	290244.26	321005.4099999999	233088.22	265690.66	233783.24	243524.04	333284.66	172321.41	235392.1	256824.53	232504.14	302592.8499999999	256007.12	246558.55	229617.9	214802.05	276522.94	230722.22	290343.84	195953.79	247551.96	242892.61	246381.37	302571.86	292249.52	262867.34	199242.58	207764.02	245348.87	260228.19	260203.68	146189.68	2824.85	41162.72	26861.57	77462.81	20844.9	15531.36	76643.46	243138.13	182427.81	264992.68	283596.92	261949.13
UDP-NACMURALGLDAPLIG-RXN	221954.12	261927.60000000003	222821.31	261075.67000000004	240800.25	307843.52	146926.87	210453.44	233037.71	278817.2	278607.91000000003	245470.28000000003	251150.32	330646.91	266848.66000000003	299631.95	294644.69	319881.01	230585.87	263853.32	233460.36	240709.5	328218.02	171411.77	237272.58	260509.34	234472.99	302753.68999999994	255945.93	247638.58	230611.78000000003	218591.33	272450.84	228360.77	289207.17	197680.7	251737.99	246101.79	249478.16000000003	306112.07	293893.36	265429.74	202289.37	210356.18	248298.35	263391.59	254341.57	149464.0	2388.18	36681.05	25778.16	73406.14	18597.9	12339.03	76644.46	243574.14	180603.13	264537.25	274834.1	254789.82
UDPGLCNACEPIM-RXN	158054.83000000002	178253.75999999998	155005.61	188562.03	166437.31	190245.12	121770.23	166407.4	159936.05	231057.12	190243.47	173740.17	202712.02	229169.18	188405.74	217420.07	246067.77	254715.24000000005	153774.56000000003	184615.0	163571.33	160500.39	189692.13	110856.28	174130.95999999996	187611.01	161229.82	232372.93	158542.07	176392.68000000002	155523.84	143328.33	158458.71	188126.6	211685.77	142428.6	162585.2	213282.16	190725.17	256512.05	181089.82	195389.54	148722.66	183608.65	193698.14	190487.66	167461.59	106236.31	1373.1	31593.47	23050.72	55757.95	12961.0	9064.2	77206.75	210076.22	189193.39	218826.99	207078.22	194104.17
UDPGLUCEPIM-RXN	560168.16	665175.3200000001	604653.02	744953.9099999999	670345.6100000001	815300.6499999999	417504.32	581056.43	623767.21	700165.4099999999	798290.43	688583.31	593839.2	837368.5599999998	632730.6	706337.7000000001	815896.24	783059.9699999999	559126.47	685192.53	592647.25	610562.5199999999	768626.6	421099.72	651516.6900000001	622732.5399999999	541498.25	717263.84	592817.62	656063.62	578114.15	549573.21	683626.57	577175.3099999999	782091.1700000002	485455.67999999993	684807.74	579501.32	619645.47	690248.24	776991.6799999999	673895.8500000001	527064.95	471569.0	674730.57	726014.7300000001	634381.6599999999	402538.73	5838.259999999999	93745.43	57098.96000000001	215982.58	50142.97	30901.31	76857.77	653777.46	493124.96	725381.97	852256.94	809993.0899999999
