function	G2N01	G2N02	G2N03	G2N04	G2N05	G2N06	G2N07	G2N08	G2N09	G2N10	G2N11	G2N12	G2P01	G2P02	G2P03	G2P04	G2P05	G2P06	G2P07	G2P08	G2P09	G2P10	G2P11	G2P12	G5N01	G5N02	G5N03	G5N04	G5N05	G5N06	G5N07	G5N08	G5N09	G5N10	G5N11	G5N12	G5P01	G5P02	G5P03	G5P04	G5P05	G5P06	G5P07	G5P08	G5P09	G5P10	G5P11	G5P12	NC01	NC02	NC03	NC04	NC05	PCRN	PCRP	PM01	PM02	PM03	SC01	SC02
--LIMONENE-6-MONOOXYGENASE-RXN	4.57	3.71	1.93	3.14	0.57	1.36	3.0	4.14	5.07	6.57	4.43	4.71	4.5	6.5	2.36	2.0	9.57	7.86	1.71	3.93	4.14	1.43	1.57	1.79	0.43	1.71	2.36	1.14	3.93	0.36	1.14	0.79	4.43	0.93	0.71	4.86	0.93	1.57	1.43	3.86	0.5	0.5	0.64	1.93	4.0	3.36	6.43	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	3.07	2.29	0.0	0.0
--LIMONENE-7-MONOOXYGENASE-RXN	4.57	3.71	1.93	3.14	0.57	1.36	3.0	4.14	5.07	6.57	4.43	4.71	4.5	6.5	2.36	2.0	9.57	7.86	1.71	3.93	4.14	1.43	1.57	1.79	0.43	1.71	2.36	1.14	3.93	0.36	1.14	0.79	4.43	0.93	0.71	4.86	0.93	1.57	1.43	3.86	0.5	0.5	0.64	1.93	4.0	3.36	6.43	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	3.07	2.29	0.0	0.0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	410207.48	482183.14	427054.98	490216.8000000001	455487.52	583969.74	276455.36	395712.51	449045.08	503127.67	527198.5800000001	461897.45	487765.22	630027.86	543792.44	597799.29	602527.01	616329.4	445760.22	495825.28	455473.0	475361.58	622579.95	329808.53	531971.0900000001	539206.5	489412.43	648171.9700000001	520656.2199999999	535363.09	491177.7	471079.46	555475.9	496823.04	651324.5499999999	415257.58	542793.7200000001	504649.97	510636.82000000007	621345.68	663440.0199999999	566061.87	438407.67	412541.72	535338.58	581417.06	541709.3600000001	320203.05	4247.75	71099.14	43681.31	141672.79	33352.78	19202.75	76796.79999999999	419043.18	252145.13000000003	478249.39	524963.9	483476.8
1.1.1.136-RXN	33129.55	36052.94	35275.67	33435.6	60681.98999999999	50930.880000000005	21019.39	37698.82	38450.62	47068.240000000005	54691.29	47719.130000000005	34882.96000000001	63816.32	33096.34	37276.47	43415.02	50348.66	37615.64	40285.65	32951.87	36971.47	55386.37	26589.25	30647.98	33252.310000000005	29957.98	33701.42	39534.25	30057.83	29831.26	30417.25	46384.18	27784.51	35733.31	28358.52	33783.09	35664.86	31686.08	42124.37	33825.4	31393.49	24401.35	30668.320000000003	36126.420000000006	32181.910000000003	40369.19	22276.6	404.1	5039.83	4522.28	25276.24	5528.9400000000005	2684.5	19.72	67239.04000000001	87353.06	66480.51000000001	90883.81	92202.17
1.1.1.145-RXN	1108.0	1793.0	1629.0	1874.5	981.5	1229.0	867.5	1901.0	1519.0	834.0	2440.0	1857.0	641.5	1001.0	535.0	462.5	888.5	699.5	579.5	805.5	1366.5	596.0	771.5	375.0	1087.0	682.0	809.5	739.0	844.5	837.0	1162.0	1360.5	1470.0	1111.0	1268.5	1085.0	612.0	446.5	694.0	549.0	405.5	333.5	526.0	440.0	733.0	666.0	270.5	501.5	0.0	468.0	130.0	338.0	56.0	0.0	0.0	1568.5	687.0	1937.0	1628.5	1684.0
1.1.1.170-RXN	22.0	84.0	48.0	117.0	70.0	171.0	14.0	26.0	66.0	23.0	251.0	84.0	10.0	89.0	22.0	34.0	14.0	54.0	34.0	55.0	64.0	69.0	64.0	102.0	84.0	24.0	5.0	6.0	2.0	107.0	41.0	21.0	2.0	46.0	52.0	20.0	673.0	46.0	71.0	92.0	57.0	27.0	302.0	67.0	32.0	28.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	24.0	158.0	229.0
1.1.1.215-RXN	31942.27	33958.25	31650.08	31773.3	18274.99	25314.02	20313.119999999995	26019.15	22636.76	43991.21000000001	25626.65	23911.58	35444.619999999995	26909.08	23518.46	25008.38	35413.869999999995	33281.21	21540.5	23875.46	20055.6	18482.52	31439.619999999995	14878.43	15903.489999999998	24901.69	31426.24	47466.03	43328.24	17930.4	22136.47	19730.73	47914.21	16991.629999999997	17576.23	25733.58	20876.6	29323.54	28910.33	45081.63	22850.52	25586.23	18600.56	31206.81	25338.8	23927.9	32165.65	17051.11	809.5	7164.26	3790.93	5587.5	3638.66	4582.5	76516.84	22046.03	16639.0	18868.4	6300.030000000001	5195.66
1.1.1.251-RXN	0.0	1.4	0.0	0.0	11.33	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	7.33	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	8.0	1.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67	0.0	2.0	1.0	1.0	6.0	3.33	5.0	0.0	0.0	28.43	0.0	2.33	3.67	76498.34	18.0	1.0	21.0	0.0	3.67
1.1.1.252-RXN	86.0	91.0	62.0	74.0	113.0	308.0	17.0	106.0	336.0	49.0	269.0	232.0	489.0	389.0	1080.0	711.0	827.0	537.0	336.0	213.0	503.0	400.0	442.0	262.0	395.0	96.0	186.0	231.0	180.0	196.0	222.0	315.0	262.0	174.0	380.0	199.0	118.0	85.0	32.0	82.0	220.0	37.0	125.0	27.0	110.0	98.0	279.0	41.0	0.0	0.0	2.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	84.0
1.1.1.253-RXN	11520.61	18081.7	15811.9	16860.129999999997	51492.72	29252.34	10773.27	15691.35	14726.27	27456.71	21962.89	17363.81	24235.4	29223.94	14052.990000000002	19883.71	14913.16	16572.53	17496.739999999998	17367.629999999997	11514.41	16870.85	23553.53	11630.89	13436.0	16887.100000000002	19538.78	26595.029999999995	25868.55	15797.490000000002	15204.78	15306.14	13887.739999999998	12648.3	15861.47	12521.7	16185.72	14935.25	16230.11	20577.64	12844.93	13015.15	10863.51	11859.84	11133.71	10139.5	12830.98	9278.329999999998	12.08	1117.42	1117.84	20998.84	3217.24	241.5	3.0	4948.0	1469.4900000000002	7124.349999999999	86313.44	83397.15000000001
1.1.1.261-RXN	42115.670000000006	42872.29000000001	42987.3	69296.17	25477.35	39720.07	45252.8	48989.19	44178.13	66188.05	56160.62	48184.03	48554.82000000001	39741.93	43928.490000000005	44203.05	86784.84	48609.05	27459.39	48310.55	42238.76	37763.07	29392.57	22389.85	51706.060000000005	22785.13	20754.06	40164.78999999999	24957.88	46262.9	34441.35999999999	29114.52	33568.94	39783.240000000005	61192.79	27876.56	45294.93	23863.7	33666.43	22669.26	36410.52	36443.61	35098.829999999994	17360.16	46010.37	52809.18	29179.2	28104.16	195.91	2965.33	1575.5200000000002	3860.06	1103.93	1025.73	23.17	17461.440000000002	12326.03	19673.31	13851.23	13899.49
1.1.1.264-RXN	18882.48	18440.24	15940.26	15373.41	15578.83	30161.9	8646.48	17285.43	26553.18	27089.93	23717.65	22351.34	48003.25	40114.08	53701.34	53836.59	48611.42	42212.9	28000.74	25581.42	33863.9	33433.17	40921.16	20377.83	35745.98	31892.03	26897.43	33268.58	34379.66	26694.03	24338.73	26077.53	36264.94	20230.95	35709.5	22235.35	33608.520000000004	34562.600000000006	25020.410000000003	39441.58	44669.52	32074.2	27503.58	27336.160000000003	35343.560000000005	44573.69	44490.53	17722.16	92.0	1231.5	1478.93	2943.0	196.0	126.33	181.55	5089.84	1792.0	7709.08	7178.83	7257.0
1.1.1.271-RXN	91033.69	135994.61000000002	95627.2	94445.55	122099.0	155853.04	53118.22	82608.52	96780.98	100468.01	116227.06	97999.54	101625.25	168996.3	136850.12	165624.98	84181.23999999999	169378.55	120263.68	128834.54	109540.52	119970.18	169021.0	90615.03	87004.36	120887.88	112293.55	144880.82	84036.12	111958.86000000002	103521.58	97880.38999999998	54991.03	119688.7	116889.97	86916.38999999998	100433.3	142186.59	123980.94	179666.07	116152.37999999998	127581.47	91211.22	116757.95	89886.03	75898.06	80968.33	57523.14	252.16	10138.07	7065.85	35696.41	6189.33	1081.83	654.62	36769.6	22108.26	58241.58	125862.29	119931.1
1.1.1.291-RXN	310.58	400.72	307.27	336.15	41.57000000000001	109.37	98.67	264.47	141.4	94.25	335.76	249.37	51.17	128.84	28.37	18.66	121.57	87.85	30.73	83.59	82.15	41.09	55.57	32.46	27.43	10.04	12.69	17.81	11.93	10.7	15.47	11.12	38.440000000000005	16.26	26.380000000000003	11.52	10.26	27.23	18.76	18.87	7.83	14.83	8.97	21.93	42.66	36.7	28.09	15.36	29.0	0.0	0.0	0.0	0.33	0.0	0.33	500.65	147.39999999999998	645.9499999999999	6.0	13.33
1.1.1.292-RXN	3122.33	3280.67	3288.33	3622.83	3001.5	5537.17	1751.0	4397.33	4596.33	2615.0	4658.5	4253.0	3706.0	5903.33	2717.5	3994.83	2885.0	4402.83	3790.5	3956.33	3209.83	3580.33	6658.0	2592.67	2943.0	4650.33	4437.33	4189.5	4801.33	4070.33	3710.67	2849.5	3054.0	2541.17	3160.83	2925.83	3334.33	3364.33	4267.33	4607.17	3421.83	3502.5	3008.83	3510.17	2532.17	3598.67	2513.83	1901.17	71.0	30.0	0.0	610.0	359.0	1.0	3.0	969.0	60.0	1006.5	1249.0	1165.5
1.1.1.34-RXN	524.37	3022.69	3734.86	6626.81	2136.33	3545.33	1006.9	2143.54	2513.98	442.67	2347.9300000000003	2647.19	2400.83	3975.8	7029.29	6650.38	3897.31	3252.5	2632.62	2050.1	2378.17	3297.0	3704.17	1851.03	1707.0	4378.21	4223.5	2674.29	3068.71	3024.0	3132.5	2464.07	1947.64	2031.5	2858.84	2306.17	1352.17	1453.5	2998.5	2846.17	2131.0	3391.0	1443.5	1517.0	1315.17	1548.17	1090.0	923.0	0.0	53.0	32.0	422.0	0.0	0.0	2.5	43.33	213.0	111.0	906.5	795.0
1.1.1.39-RXN	144572.93	151142.33999999997	152394.72	220837.92	125628.47000000002	158686.82	135591.88	163996.58000000002	167451.15999999997	206146.76	199124.37	184081.42	183900.62	179937.52	182408.82	182462.24	317345.12	189816.83	116808.62	163898.75	166733.55000000002	144075.24	143215.39	94034.7	226989.78	180972.23	137544.87	206140.33	181155.3	196840.19	172680.99999999997	165456.23	294161.51	184964.08	279626.91	147866.56999999998	203596.14	147185.75	166484.93	158891.91	261830.76	189385.54	162501.74000000002	131811.04	247569.55	286665.82	240442.01	128082.94	2284.2	36687.47	23087.64	48350.22	13652.45	13498.7	76644.18	277889.56	243011.57	273516.68	163028.5	154910.13
1.1.1.43-RXN	978.51	874.87	656.71	535.3	408.43	692.72	511.47	837.46	658.5	1173.1	654.84	457.17	2193.92	949.59	896.7	625.1899999999999	881.3399999999999	2163.4	840.26	587.6800000000001	415.69	669.69	1003.25	446.43	553.63	738.8800000000001	1963.22	3919.68	2701.1800000000003	231.47000000000003	944.5	1109.37	1907.8100000000004	709.43	1170.4	1509.5700000000002	549.1	1631.73	318.93	1668.6999999999998	962.2	1320.43	895.33	1529.6	388.23	322.0	1144.1	533.5	4.0	291.6	12.0	0.0	157.0	1.0	1.0	0.0	1.5	1.0	70.7	40.07
1.1.1.51-RXN	1708.95	4507.33	5137.07	6727.75	4915.58	6806.8	1039.45	2053.57	3609.73	1028.14	3581.13	3104.07	3381.95	5201.08	3558.43	4164.8	2710.65	5643.9	5318.68	4912.37	3036.9300000000003	4699.67	9976.38	3421.17	3360.78	5607.57	5392.81	5616.77	3421.27	4461.92	4678.0	5785.95	1711.7199999999998	4118.33	3814.75	4197.62	8044.35	4375.93	5817.98	7564.55	4126.6	5507.98	3479.23	3149.0	2844.83	2078.1	2094.75	2109.0	0.5	25.0	0.0	559.5	130.7	1.0	2.0	260.0	63.5	309.5	2114.25	1525.67
1.1.1.53-RXN	38460.64	42819.34	44007.1	61987.09	38801.08	60763.93	30760.98	43876.34	62538.740000000005	52523.91	67491.24	58435.59999999999	96141.14	84033.80000000002	130248.23	119508.97	149227.61	84768.20000000001	58191.96000000001	61184.64	81467.54	75547.5	76753.94	46833.01	133240.85	105076.46	87187.26000000001	119909.86	97767.79	111269.32	92323.95	99426.97	131968.6	96456.66	158892.6	81653.12	118208.45	83115.87	81439.59999999999	96714.88	159288.92	107058.51	92207.77999999998	62692.4	129706.65	156088.69	130617.66	66495.67	498.83	11480.82	3151.26	11145.5	1968.15	2024.18	68.5	41342.78999999999	12859.49	49316.08	36945.27	35307.69
1.1.1.8-RXN	15.0	47.0	85.0	90.0	465.0	287.0	35.0	31.0	70.0	32.0	95.0	71.0	52.0	240.0	54.0	83.0	60.0	140.0	193.0	63.0	49.0	66.0	102.0	34.0	23.0	5.0	7.0	19.0	9.0	61.0	7.0	6.0	14.0	11.0	4.0	10.0	66.0	1.0	6.0	7.0	9.0	5.0	25.0	2.0	5.0	1.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	40.0	0.0	846.0	587.0
1.1.1.83-RXN	69511.84	68725.48999999999	61568.600000000006	64543.310000000005	51109.97	74626.72000000002	37466.630000000005	63553.77	71008.57999999999	103139.75	71803.41	67001.26000000001	78331.13	83669.62	70220.93	75319.32	87360.65000000001	97661.26	67605.39	65490.56	61456.130000000005	65358.27	101337.58	47182.490000000005	72067.25	80537.62	95490.67	108127.19	103139.51	74586.32	76562.01000000001	71568.83	104528.97	66907.17	92485.53	70322.01	56041.490000000005	67050.03	67026.07	98386.87	79595.81999999999	69092.97999999998	50242.15	65037.34	70256.62999999999	65192.19	74406.69	38213.19	1645.11	22558.71	15712.5	15550.340000000002	7741.72	8939.1	76390.01000000001	138197.91	130009.8	134980.94999999998	37406.22	32946.57
1.1.3.37-RXN	68.0	59.0	78.0	68.0	1346.0	381.0	81.0	223.0	178.0	116.0	371.0	271.0	188.0	634.0	172.0	349.0	256.0	102.0	250.0	229.0	107.0	198.0	172.0	94.0	0.0	5.0	6.0	6.0	0.0	9.0	3.0	7.0	6.0	3.0	4.0	8.0	10.0	17.0	7.0	2.0	17.0	12.0	10.0	8.0	9.0	5.0	5.0	4.0	0.0	0.0	0.0	846.0	121.0	0.0	0.0	0.0	0.0	20.0	5453.0	5320.0
1.1.3.41-RXN	61810.78	64346.380000000005	56776.92	83503.88	37976.8	62276.6	54531.060000000005	62650.11	63006.29000000001	78768.08	73769.17	63278.54000000001	83331.41	68670.34	88705.45000000001	92261.32	126264.53	75284.75	49225.94	70837.02	70579.31	61902.31	55666.86	39120.42	116571.43	97354.33	72763.69	105992.08	89068.47	109581.57	89575.23000000001	86303.37999999999	120172.44000000002	94493.59	147535.65	70565.64	107493.38	85313.81999999999	81618.99	84228.06	145946.86	98485.98	87338.09999999999	65411.89	115379.74	141057.78999999998	113110.08	60702.46000000001	474.91	5610.16	2538.83	5936.0	2540.76	1497.5	60.17	40509.34	12979.42	53572.490000000005	18198.75	16359.82
1.1.99.25-RXN	5624.67	5370.98	4762.61	3341.67	3455.1900000000005	6028.41	3581.37	6041.170000000001	4952.97	15141.77	4776.15	4118.5	15746.87	7464.73	6763.0	7761.15	5510.139999999999	7241.2	6441.150000000001	5237.29	3973.46	5179.73	9468.9	4193.67	3010.7699999999995	5681.78	9842.95	14690.42	15707.04	2681.67	5195.900000000001	4979.27	8371.91	3277.63	4057.9	6443.969999999999	3795.4	8162.33	5873.33	13382.66	7668.5	7546.83	5116.43	7306.6	3125.33	3280.4	10418.04	3030.96	835.5	8951.6	2438.0	4230.0	3750.2	6853.0	12.0	2753.0	2146.0	3102.5	209.7	174.07000000000002
1.1.99.28-RXN	20049.99	26231.55	17825.260000000002	15682.66	15168.06	25331.51	11945.15	17386.08	18366.84	22541.26	19598.94	15339.91	18192.68	25177.59	23815.99	29352.83	10135.85	23135.72	21837.41	24156.98	17291.35	18688.42	28654.64	14112.16	15723.01	22234.6	26916.9	31310.39	27159.42	26639.18	21419.44	16011.31	14190.33	15406.49	22505.17	15099.19	26819.83	32334.5	23265.09	35298.9	31983.08	23258.91	23246.99	23424.09	16664.989999999998	15916.99	24210.14	9667.0	13.33	895.5	835.0	1698.34	525.0	654.0	13.0	2445.34	1096.5	2871.49	4839.35	3439.82
1.10.2.2-RXN	69830.20000000001	78660.96	69121.36	67418.23999999999	74039.07	104277.47	33878.57	59140.83	70263.24	91036.75	74837.2	66277.51	75724.5	99349.17	67671.84	81457.64	53638.1	100585.79	85588.18000000001	79253.31999999999	61657.18	76966.79	138056.03	55268.02	46464.12	71032.62000000001	89446.04	106608.11	94579.81	54158.81	59939.15	57760.89	51228.740000000005	44034.030000000006	49570.15	54956.67	61602.41	66395.7	69953.46	106128.54	72562.75	70905.01	49839.600000000006	56029.59000000001	45826.94	39858.11	60214.21	34080.03999999999	644.1700000000001	6596.24	5165.33	14851.92	3540.7	1860.66	40.120000000000005	15881.15	7215.32	26426.95	64340.11	52971.240000000005
1.11.1.15-RXN	559983.25	654192.04	562377.6000000001	660696.9400000001	561364.77	734227.17	375455.0299999999	527380.24	560693.27	686765.3	693485.9400000001	604472.15	580987.0700000001	792016.29	596068.76	683791.4199999999	687693.86	784132.03	544623.51	643665.72	550635.73	572852.64	768324.0499999999	404915.62000000005	521254.19000000006	563959.56	529432.84	703407.8300000001	555141.4299999999	556313.87	524637.23	490615.5399999999	568297.53	531914.38	643508.2999999999	453036.42999999993	564879.9099999999	570257.95	572459.46	705670.54	611582.9	593870.3099999999	450238.99	479426.78	551595.25	549723.5700000001	534287.23	338590.29000000004	6019.7	94618.3	65419.23999999999	158721.80000000002	45823.59999999999	36280.39	229806.76	597279.6200000001	486852.48	664782.23	572627.38	518562.84
1.12.1.3-RXN	2677.9999999999995	2913.91	3811.13	3427.38	5493.72	5848.700000000001	2125.34	4046.71	5642.27	4268.950000000001	5001.990000000001	4897.919999999999	1895.0	6701.23	2436.32	2570.34	2764.12	4737.92	3280.9	3428.73	2813.25	3209.7000000000003	4437.47	1885.37	2539.28	3997.2	1848.73	1343.81	2836.8100000000004	1412.32	1680.12	2010.92	4989.1900000000005	1366.5200000000002	1811.38	2727.37	1542.0400000000002	1619.72	1732.6	3803.75	2049.52	1135.81	1035.7	1864.87	3727.0	5267.370000000001	3073.0200000000004	2484.36	39.0	2321.99	3519.4	3846.6	41.6	1772.82	3.0	16385.57	13702.740000000002	13642.96	6629.0	5624.0
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.14-RXN	4755.36	1354.36	1027.74	1320.74	923.5	1650.0400000000002	771.7	1552.16	1011.24	996.3	916.64	889.7	2129.7	1820.0	1461.6	1525.8	1519.24	1925.9	2024.44	1574.04	1268.26	1761.16	2951.96	1085.84	1089.54	3122.54	8020.54	5419.46	6490.8	1080.26	2484.2	3675.2	2301.46	1006.94	1519.0	4270.2	949.24	1509.8	889.2	3787.26	2299.24	1847.86	965.8	1512.66	817.8	829.8600000000001	2097.26	530.26	15.34	82.66	78.0	0.0	1.34	56.0	0.0	547.0	193.34	1049.34	361.0	344.84000000000003
1.13.11.15-RXN	13068.18	7156.99	5167.679999999999	4969.96	3396.43	7390.03	4504.56	5872.68	6863.16	25056.55	6774.12	5914.450000000001	8790.599999999999	6630.67	7398.389999999999	8073.809999999999	8720.93	18879.25	6661.78	6754.43	6428.71	6496.3	7864.06	4641.19	3006.11	4143.24	8322.990000000002	8187.889999999999	9342.67	2894.68	4731.88	5569.369999999999	5997.92	2675.83	4824.25	5759.22	2963.0	5844.92	4953.55	11598.57	8146.82	5980.65	3945.1	6804.33	3907.78	3374.7	7447.39	3056.36	4.0	271.0	774.9300000000001	431.0	7.2	2.0	5.5	462.3	232.5	459.15	554.27	463.8
1.13.11.16-RXN	9914.63	9044.96	7808.809999999999	9628.56	5712.55	9596.51	4549.52	7326.92	7089.96	6533.6	9135.67	7343.23	5958.070000000001	10777.85	6042.18	8180.119999999999	6641.31	8426.71	7648.86	7547.890000000001	6658.490000000001	6787.96	13009.339999999998	5597.92	4237.18	3708.19	5064.509999999999	4460.19	3377.82	4506.06	4524.85	4481.860000000001	3394.58	4450.39	5580.51	3531.44	3799.73	5005.56	4106.52	6907.62	3424.69	4944.6	3379.05	4970.83	3011.82	2973.61	2720.55	2184.58	91.99	781.0	308.26	1390.5	102.0	2.0	452.0	5025.9800000000005	1350.15	5654.889999999999	4456.02	4064.59
1.13.11.25-RXN	7965.35	13120.85	11070.95	16231.11	10117.75	17998.77	5413.6	10282.92	15033.95	6995.41	15843.4	14770.69	12534.27	18984.83	16168.96	17173.9	22643.78	16352.37	13483.46	12634.44	14085.05	13994.17	21038.81	10919.34	35251.93	47695.27	36657.59	44283.24	41793.82	32366.14	31077.85	39508.52	58499.74	30605.05	47023.42	28865.02	34931.2	24368.73	25928.85	38871.130000000005	70374.53	37270.93	27232.06	22359.5	41079.65	49222.77	50626.05	20011.88	157.82999999999998	4568.0	1005.92	3904.5	620.7	575.0	21.0	17665.67	5975.83	20801.83	11093.92	9979.17
1.13.11.38-RXN	2.0	4.0	4.0	2.0	79.0	24.0	6.0	9.0	4.0	3.0	17.0	11.0	7.0	14.0	4.0	2.0	5.0	1.0	8.0	5.0	4.0	8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	245.0
1.13.11.41-RXN	785.1	1470.6	1686.9	2150.7	1413.3	1843.6	636.2	961.5	1209.9	687.3	1831.5	1489.2	1152.1	1446.4	1086.6	906.8	899.2	1555.4	1412.6	1513.2	934.8	1183.0	2380.4	820.0	661.7	631.2	1309.4	1658.1	2002.0	533.1	874.8	845.1	1403.7	499.5	920.5	1163.3	1050.3	1138.5	967.5	1023.9	856.7	1287.6	1016.1	1119.5	484.7	383.0	830.9	552.9	0.0	54.0	8.0	464.0	0.0	178.5	1.0	322.5	92.5	377.0	404.6	408.8
1.13.11.46-RXN	24862.55	19180.04	16219.86	31728.870000000003	7873.15	15062.54	19818.24	21028.98	12975.1	26645.27	18469.97	16052.32	16406.88	14494.53	4174.200000000001	7839.700000000001	28937.48	14465.52	6427.12	19547.71	11647.84	11411.330000000002	6777.65	4817.22	1424.53	469.44000000000005	878.8100000000001	991.22	534.0400000000001	1023.33	879.0	810.3199999999999	682.65	1312.07	2486.5199999999995	599.71	313.21	530.38	301.0	326.3	461.54	169.5	223.84	160.33	285.84	334.98	325.69	165.48999999999998	66.83	340.66	28.33	1003.75	210.45	30.06	4.17	2025.55	1215.4	1537.4	1500.84	972.12
1.13.11.49-RXN	96610.4	116638.57	107661.77	149015.33000000002	118677.7	139821.48	82020.5	111573.6	121324.07	131002.39	159645.16999999998	139348.38	123441.54	161705.91	139196.74000000002	140386.93	198500.76	147506.75	93609.52	126872.21	122578.2	111960.37	129382.81	78034.73	148252.50999999998	124845.39	89765.39	123394.66	117498.07	130225.46	112755.34	112123.25	192995.6	119265.07	174736.0	98477.48	133118.34	100964.16	116065.87	112203.47	158224.34	130421.77	103765.88	93362.48	159683.6	184952.79	151781.57	89705.17	1251.1799999999998	20999.160000000003	14766.34	43878.82000000001	11539.97	6369.87	85.0	194685.83	151375.96	193420.22	168670.68000000002	164532.68
1.13.11.6-RXN	38965.82	37946.96	30750.56	35467.08	16767.89	25818.0	24486.33	26963.2	20537.94	57819.41	26539.24	22280.98	36332.94	27656.41	19700.96	26012.25	27714.93	32813.61	20187.22	25362.67	19239.26	21333.77	26214.86	14433.61	8973.94	15115.39	21950.18	29542.3	30377.26	11421.86	13420.98	11986.1	15050.93	9394.59	10222.72	12516.37	12917.58	15412.74	13446.94	24481.68	15378.49	13058.17	9454.97	11948.42	9463.82	8420.85	17603.449999999997	7266.530000000001	88.66	1410.5	1388.5	1951.75	518.34	4.5	8.5	5363.97	2605.74	6581.95	8673.42	7211.82
1.13.11.9-RXN	14146.22	12164.51	9363.39	10416.17	7742.71	14370.21	6909.25	9634.32	11699.63	26351.52	12521.91	11075.07	10768.23	11608.97	10360.13	13449.03	12418.11	19598.800000000003	10516.92	11509.67	10741.42	11251.35	14141.1	7870.23	7088.66	11655.21	13657.88	17826.12	16819.440000000002	9161.46	11171.85	9255.69	9610.06	5781.120000000001	7237.780000000001	9486.38	9048.5	12008.92	12614.86	22524.17	18619.43	15669.9	8886.32	10272.39	8878.9	8628.93	15826.09	5229.2	37.33	2233.6	468.67	818.6700000000001	357.0	345.99	5.5	6912.24	4138.32	12667.12	4047.36	3750.75
1.14.11.1-RXN	5567.04	2977.11	3716.17	2485.56	2528.03	4917.13	1431.09	2838.9100000000003	3687.26	5489.93	4026.82	3494.52	4618.280000000001	5335.780000000001	3230.43	3450.89	3344.26	9833.85	4255.29	3798.82	2823.49	3267.36	5080.4400000000005	2485.71	3228.49	3337.4500000000003	5312.92	6204.4800000000005	5187.759999999999	2964.3700000000003	3730.19	4054.24	3745.65	3181.53	4968.6	3739.51	2698.28	2975.82	2737.83	4494.04	3516.05	2853.96	2625.1	3222.9	2162.4300000000003	1883.92	2562.1400000000003	1995.56	76.0	23.1	35.0	758.0	422.44	28.56	3.0	196.89	31.39	127.06	1510.14	1232.5
1.14.11.18-RXN	13433.56	17011.129999999997	14692.58	11608.36	10891.43	18416.8	7806.34	15471.37	17294.58	32106.1	22892.7	18787.29	16189.68	24057.91	18009.4	17565.64	13360.27	28734.63	20620.88	18507.36	15574.37	18914.58	30494.09	14183.03	8317.52	14047.579999999998	18653.38	16910.39	19822.08	8050.25	11281.08	12648.63	10428.02	8670.32	10912.56	11009.16	8301.8	8867.84	10670.97	17847.33	12026.509999999998	13613.84	6716.77	8946.61	7295.69	6259.59	9051.45	6657.27	4.0	808.5	407.58	776.0	45.0	115.33	9.17	1135.3	373.5	1904.98	3821.5	3461.0
1.14.11.2-RXN	17281.86	20604.59	20932.47	18802.34	20566.4	31248.88	7406.76	15223.38	19610.96	17602.3	18925.39	15968.22	21350.92	30816.67	20610.9	22917.74	12195.92	24999.73	25195.26	22044.04	15895.16	21562.77	44874.37	15127.96	17611.38	29295.18	39230.5	41671.82	32859.29	20784.89	22280.52	22556.55	13903.15	15202.81	15320.72	22567.12	22052.870000000003	27373.44	27270.23	46845.02	28522.230000000003	26477.29	19957.14	19682.59	15762.919999999998	13144.35	26638.620000000003	12924.410000000002	345.34000000000003	3044.65	2094.0	5238.67	1593.34	1822.33	21.5	7719.54	2283.4100000000003	8186.56	10006.66	7684.59
