passage	treat	parental	offspring	selected
1	n	-1.552011881355094	-1.1851920647052314	-1.9202512074363796
1	p	-1.8948301614030991	-1.3402117301082759	-1.2702602434264247
2	n	-1.1851920647052314	-1.5706261756203603	-1.3428789986492962
2	p	-1.3402117301082759	-1.5740335091086972	-1.5018599171257143
3	n	-1.5706261756203603	-1.442753294702648	-1.3578703659869031
3	p	-1.5740335091086972	-1.0631836845057214	-0.776778575191879
4	n	-1.442753294702648	-1.470902407123966	-1.4883149993523874
4	p	-1.0631836845057214	-1.2234100241880153	-0.7052112862406694
