flux_date	passage	treat	rep	ch4	rank_ch4	log_ch4	selected
2019-09-24	1	p	08	-0.0063787046246737145	2	-2.66658359249206	FALSE
2019-09-24	1	p	05	-0.005833949462888559	3	-2.568700258294136	FALSE
2019-09-24	1	p	02	-0.0029967655476191707	4	-2.256742268305574	FALSE
2019-09-24	1	n	07	4.0644236361346754e-4	8	-2.0486627809575477	TRUE
2019-09-24	1	n	08	6.678678358662477e-4	10	-2.036145178372151	TRUE
2019-09-24	1	p	09	0.0012043386870921333	11	-2.011535128763758	FALSE
2019-09-24	1	p	07	0.0030750128953091057	14	-1.935221486423684	FALSE
2019-09-24	1	p	12	0.0030786655682827737	15	-1.9350848557304503	FALSE
2019-09-24	1	n	11	0.003955443054417813	16	-1.9034725249438895	FALSE
2019-09-24	1	p	03	0.004459206175698649	18	-1.8862986625190803	FALSE
2019-09-24	1	n	02	0.0046688126945505105	19	-1.879348292285373	FALSE
2019-09-24	1	p	10	0.006134644267435136	22	-1.8336233034187293	FALSE
2019-09-24	1	p	04	0.006142470374523786	23	-1.833391650610443	FALSE
2019-09-24	1	p	01	0.006503284954312145	24	-1.8228435247650372	TRUE
2019-09-24	1	n	03	0.007389300499143317	29	-1.7979791425176712	FALSE
2019-09-24	1	n	04	0.012286537378701655	35	-1.6815174215761495	FALSE
2019-09-24	1	n	06	0.0125553684214979	36	-1.6759456629794398	TRUE
2019-09-24	1	n	09	0.018247951542124247	46	-1.5721650535455347	FALSE
2019-09-24	1	p	06	0.03214797895425543	72	-1.3906027174862752	TRUE
2019-09-24	1	n	01	0.09134035635483241	98	-1.0005479569145928	FALSE
2019-09-24	1	n	05	0.11715718344822144	103	-0.9006967344378097	FALSE
2019-09-24	1	p	11	0.2442015198961483	107	-0.5973344880279616	TRUE
2019-09-24	1	n	10	0.2571410596965335	109	-0.5756499463758746	FALSE
2019-10-23	2	n	12	0.017737934117810345	45	-1.5805153683034228	TRUE
2019-10-23	2	p	07	0.022124539132290802	52	-1.5134548967249108	TRUE
2019-10-23	2	p	11	0.023280837796981108	55	-1.49737640944782	TRUE
2019-10-23	2	p	10	0.023473933840717498	56	-1.4947484452044124	TRUE
2019-10-23	2	p	03	0.0251875225899541	60	-1.4720986010367612	FALSE
2019-10-23	2	p	04	0.027691210843141908	63	-1.4409944554964556	FALSE
2019-10-23	2	p	02	0.0277488254150332	64	-1.440304269779702	FALSE
2019-10-23	2	n	08	0.027935272591490635	65	-1.4380782403496923	FALSE
2019-10-23	2	p	08	0.028806361509885758	66	-1.4278266985499528	FALSE
2019-10-23	2	n	10	0.0322306529738658	73	-1.3897210290121695	TRUE
2019-10-23	2	p	05	0.03271301939695346	74	-1.384612151774226	FALSE
2019-10-23	2	n	11	0.03482802981821024	76	-1.362894888590182	FALSE
2019-10-23	2	n	07	0.036059429060546516	77	-1.3507334991026827	FALSE
2019-10-23	2	n	06	0.047855010221142545	83	-1.2488089828958453	FALSE
2019-10-23	2	p	12	0.04787427250623408	84	-1.2486606536004246	FALSE
2019-10-23	2	n	01	0.05355094414769531	86	-1.2070168428210641	FALSE
2019-10-23	2	n	09	0.05680252830780032	88	-1.1848469271564541	FALSE
2019-10-23	2	n	05	0.06824224275520359	92	-1.1147756822235868	FALSE
2019-10-23	2	n	04	0.0788841536773172	94	-1.058400598632296	TRUE
2019-10-23	2	n	02	0.14439613131969153	104	-0.8155082123059251	FALSE
2019-10-23	2	p	01	0.32104525794039906	111	-0.48204071946809435	FALSE
2019-10-23	2	n	03	0.3295277779083234	112	-0.4710045050694557	FALSE
2019-11-19	3	p	03	5.112914837935042e-4	9	-2.0435989696179253	FALSE
2019-11-19	3	n	11	0.002276746996464652	12	-1.9661623154100707	FALSE
2019-11-19	3	n	12	0.005051753725371633	20	-1.8669306007934143	FALSE
2019-11-19	3	p	10	0.005366291433194689	21	-1.8569901082659517	FALSE
2019-11-19	3	p	11	0.007088988752400427	26	-1.8062483486207614	FALSE
2019-11-19	3	n	07	0.007251295447170991	27	-1.8017596256892627	FALSE
2019-11-19	3	p	04	0.007328298057551971	28	-1.7996461744578132	FALSE
2019-11-19	3	n	04	0.007429486009960636	30	-1.7968844667757387	FALSE
2019-11-19	3	p	01	0.007701898001829087	31	-1.7895356837139453	FALSE
2019-11-19	3	p	02	0.008180668533520008	32	-1.7769138857683109	FALSE
2019-11-19	3	p	08	0.010450651022148639	33	-1.7216076425221554	FALSE
2019-11-19	3	n	06	0.013131242962665712	37	-1.6642454275135168	TRUE
2019-11-19	3	n	08	0.015871908083299437	40	-1.612513010264553	FALSE
2019-11-19	3	p	07	0.016166472924683237	41	-1.6073026178859344	FALSE
2019-11-19	3	n	09	0.017194808205145257	43	-1.589587901644655	FALSE
2019-11-19	3	p	09	0.021531445317441028	51	-1.521938838283279	FALSE
2019-11-19	3	n	05	0.024348073389798504	58	-1.4830467298046968	FALSE
2019-11-19	3	n	10	0.026113163556667728	62	-1.4603379360937163	FALSE
2019-11-19	3	p	06	0.030275882642730626	70	-1.4110626897845315	FALSE
2019-11-19	3	n	01	0.04060567929125188	80	-1.3085716464014376	FALSE
2019-11-19	3	n	03	0.04822363482751692	85	-1.245979142592972	FALSE
2019-11-19	3	n	02	0.0802852064585325	95	-1.0514953044602895	TRUE
2019-11-19	3	p	05	0.0994557243145737	99	-0.9666193713704999	TRUE
2019-11-19	3	p	12	0.25032482380357185	108	-0.5869377790132578	TRUE
2019-12-10	4	n	08	0.011623187030543514	34	-1.6955797384752223	TRUE
