treat	passage	offspring	selected	parental	R	S	h2
n	1	-1.1851920647052314	-1.9202512074363796	-1.552011881355094	0.36681981664986263	-0.3682393260812855	-0.9961451443914778
n	2	-1.5706261756203603	-1.3428789986492962	-1.1851920647052314	-0.3854341109151289	-0.15768693394406474	2.4442996085639628
n	3	-1.442753294702648	-1.3578703659869031	-1.5706261756203603	0.12787288091771232	0.2127558096334572	0.6010312063299986
n	4	-1.470902407123966	-1.4883149993523874	-1.442753294702648	-0.028149112421318012	-0.04556170464973941	0.6178239518849743
p	1	-1.3402117301082759	-1.2702602434264247	-1.8948301614030991	0.5546184312948232	0.6245699179766744	0.8880005509896114
p	2	-1.5740335091086972	-1.5018599171257143	-1.3402117301082759	-0.23382177900042134	-0.16164818701743844	1.446485626066421
p	3	-1.0631836845057214	-0.7767785751918789	-1.5740335091086972	0.5108498246029758	0.7972549339168183	0.6407609446745366
p	4	-1.2234100241880153	-0.7052112862406694	-1.0631836845057214	-0.16022633968229383	0.357972398265052	-0.4475941174762254
