passage	n	p	deviance	se
1	0.04780148393540932	0.024311475178156336	-0.023490008757252982	0.031426287810865317
2	0.07733750890825812	0.0579945780971591	-0.019342930811099023	0.03844224534657478
3	0.023981916579487155	0.03869853635728656	0.014716619777799405	0.021715234018701887
4	0.029859454024271495	0.0977167274698894	0.0678572734456179	0.023798997332796668
5	0.11793667023860675	0.25173326849052796	0.1337965982519212	0.1525451409942263
