treat,passage,mean,offspring
n,1,0.047801483935409,0.077337508908258
p,1,0.024311475178156,0.057994578097159
n,2,0.077337508908258,0.023981916579487
p,2,0.057994578097159,0.038698536357287
n,3,0.023981916579487,0.029859454024272
p,3,0.038698536357287,0.097716727469889
n,4,0.029859454024272,0.151977299557864
p,4,0.097716727469889,0.356348689144492
