"","treat","passage","mean"
"1","n","1",0.0478014839354093
"2","p","1",0.0243114751781563
"3","n","2",0.0773375089082581
"4","p","2",0.0579945780971591
"5","n","3",0.0239819165794872
"6","p","3",0.0386985363572866
"7","n","4",0.0298594540242715
"8","p","4",0.0977167274698894
"9","n","5",0.117936670238607
"10","p","5",0.251733268490528
