flux_date	jar	rep	treat	estimate	passage	estimate_rank	estimate_log10
2019-12-10	n05	5	n	0.031755851018069	4	79	-1.39480917341147
2019-12-10	n11	11	n	0.0347825107502	4	86	-1.36335103116807
2019-12-10	n12	12	n	0.036804620385319	4	89	-1.34353599569873
2019-12-10	p02	2	p	0.042444061567044	4	93	-1.29262050372115
2019-12-10	n03	3	n	0.055641747265474	4	101	-1.19263210104221
2019-12-10	n10	10	n	0.056848103517267	4	103	-1.18454409047065
2019-12-10	p06	6	p	0.057615617735008	4	104	-1.17947560595439
2019-12-10	p08	8	p	0.064454731090257	4	105	-1.13674685535413
2019-12-10	p09	9	p	0.077583576979859	4	107	-1.06491046004851
2019-12-10	p07	7	p	0.080359001382431	4	110	-1.05113462139578
2019-12-10	p05	5	p	0.082581631309066	4	111	-1.04040924930583
2019-12-10	p04	4	p	0.10093629854113	4	114	-0.960705476975072
2019-12-10	p03	3	p	0.116103496848452	4	116	-0.904352844619802
2019-12-10	p01	1	p	0.179822109568791	4	123	-0.72502132253162
2019-12-10	p12	12	p	0.317859051988446	4	128	-0.486259691570587
2020-03-09	p04	4	p	-0.00753355146593	5	1	-3
2020-03-09	n03	3	n	-0.001851483740164	5	6	-2.1750891269054
2020-03-09	n05	5	n	-0.000515707732847	5	7	-2.095942412356
2020-03-09	n12	12	n	8.0474136460132E-05	5	8	-2.06479384177235
2020-03-09	n09	9	n	0.002920340649904	5	14	-1.94104691182146
2020-03-09	n08	8	n	0.004029002792499	5	18	-1.90092204948734
2020-03-09	n10	10	n	0.006571364896194	5	27	-1.82088167512875
2020-03-09	p03	3	p	0.01512350953062	5	41	-1.62603921035317
2020-03-09	n07	7	n	0.01767590275106	5	47	-1.58154202266337
2020-03-09	p12	12	p	0.018853031701753	5	51	-1.56246214824934
2020-03-09	n02	2	n	0.019177604306314	5	52	-1.5573453603585
2020-03-09	p06	6	p	0.020831578090939	5	55	-1.53216807874034
2020-03-09	p10	10	p	0.022490488216604	5	58	-1.50830165276336
2020-03-09	p09	9	p	0.025971798927677	5	67	-1.46211355807866
2020-03-09	p11	11	p	0.029063802560911	5	75	-1.42484271815683
2020-03-09	p07	7	p	0.03844626783324	5	90	-1.3280886580038
2020-03-09	n04	4	n	0.045548770301422	5	95	-1.26694467229747
2020-03-09	p02	2	p	0.106877869386403	5	115	-0.937751212257209
2020-03-09	n01	1	n	0.177840958520479	5	122	-0.729613485379207
2020-03-09	p08	8	p	0.383490571759316	5	134	-0.406687207823255
2020-03-09	n06	6	n	0.391359865941075	5	135	-0.398055744672038
2020-03-09	n11	11	n	0.752402950040885	5	138	-0.118651582645707
2020-03-09	p05	5	p	0.809149235959418	5	139	-0.087415144237462
2020-03-09	p01	1	p	1.55803461938538	5	141	0.194949298407236
