passage	treat	parental	offspring
1	n	0.004543226206992539	0.07733750890825812
1	p	0.09428426126823862	0.0579945780971591
2	n	0.04295091358966445	0.023981916579487155
2	p	0.022959770256663136	0.03869853635728656
3	n	0.04670822471059911	0.029859454024271495
3	p	0.17489027405907276	0.0977167274698894
4	n	0.02580210018419256	0.11793667023860675
4	p	0.20459488613522966	0.25173326849052796
5	n	0.009556436617470744	0.12138970293037354
5	p	0.9168914757013727	0.23673121035461714
