flux_date,jar,molecule,t1,t2,t3,t4,t5
2020-03-09,n10,ch4,5483,5376,5389,5422,5358
2020-03-09,n11,ch4,5541,4758,2386,2165,1104
2020-03-09,n12,ch4,5670,5545,5510,5619,5621
2019-11-19,n01,co2,486,868,1085,10933,11432
2019-11-19,n02,co2,556,822,1249,11386,11781
2019-11-19,n03,co2,472,831,1039,5501,10794
2019-11-19,n04,co2,527,898,1376,11331,11710
2019-11-19,n05,co2,654,930,1146,9237,10007
2019-11-19,n06,co2,607,887,1197,8736,9615
2019-11-19,n07,co2,453,798,1128,7739,8789
2019-11-19,n08,co2,512,928,1300,8390,9860
2019-11-19,n09,co2,543,826,1217,7600,8847
2019-11-19,n10,co2,399,833,1143,6790,7921
2019-11-19,n11,co2,501,706,1096,6390,7880
2019-11-19,n12,co2,571,930,1289,6324,7955
2019-11-19,p01,co2,494,870,1131,6073,7687
2019-11-19,p02,co2,468,815,1121,5278,6872
2019-11-19,p03,co2,522,960,1355,6304,8006
2019-11-19,p04,co2,491,868,1188,5429,7130
2019-11-19,p05,co2,502,790,1048,4031,5573
2019-11-19,p06,co2,312,897,1147,4829,6260
2019-11-19,p07,co2,540,663,950,3436,4458
2019-11-19,p08,co2,557,803,1021,3802,5344
2019-11-19,p09,co2,568,839,1265,4535,6250
2019-11-19,p10,co2,613,878,1260,4520,6350
2019-11-19,p11,co2,568,850,1064,3494,4996
2019-11-19,p12,co2,540,853,1079,3787,5124
