flux_date,jar,t0,t1,t2,t3,t4,t5
2019-09-24,p02,2019-09-24 11:40:00,2019-09-24 12:20:00,2019-09-24 15:24:00,2019-09-24 17:36:00,2019-09-25 14:25:00,2019-09-26 11:41:00
2019-09-24,p03,2019-09-24 11:41:00,2019-09-24 12:22:00,2019-09-24 15:27:00,2019-09-24 17:38:00,2019-09-25 14:28:00,2019-09-26 11:46:00
2019-09-24,p04,2019-09-24 11:41:00,2019-09-24 12:25:00,2019-09-24 15:30:00,2019-09-24 17:40:00,2019-09-25 14:30:00,2019-09-26 11:43:00
2019-09-24,p05,2019-09-24 11:42:00,2019-09-24 12:27:00,2019-09-24 15:33:00,2019-09-24 17:43:00,2019-09-25 14:33:00,2019-09-26 11:48:00
2019-09-24,p06,2019-09-24 11:42:00,2019-09-24 12:30:00,2019-09-24 15:35:00,2019-09-24 17:45:00,2019-09-25 14:35:00,2019-09-26 11:51:00
2019-09-24,p07,2019-09-24 11:43:00,2019-09-24 12:35:00,2019-09-24 15:38:00,2019-09-24 17:48:00,2019-09-25 14:38:00,2019-09-26 11:54:00
2019-09-24,p08,2019-09-24 11:43:00,2019-09-24 12:39:00,2019-09-24 15:40:00,2019-09-24 17:50:00,2019-09-25 14:41:00,2019-09-26 11:56:00
2019-09-24,p09,2019-09-24 11:43:00,2019-09-24 12:41:00,2019-09-24 15:42:00,2019-09-24 17:53:00,2019-09-25 14:43:00,2019-09-26 11:59:00
2019-09-24,p10,2019-09-24 11:44:00,2019-09-24 12:43:00,2019-09-24 15:45:00,2019-09-24 17:55:00,2019-09-25 14:46:00,2019-09-26 12:01:00
2019-09-24,p11,2019-09-24 11:44:00,2019-09-24 12:46:00,2019-09-24 15:47:00,2019-09-24 17:58:00,2019-09-25 14:49:00,2019-09-26 12:04:00
2019-09-24,p12,2019-09-24 11:45:00,2019-09-24 12:48:00,2019-09-24 15:49:00,2019-09-24 18:00:00,2019-09-25 14:51:00,2019-09-26 12:06:00
2019-10-23,n01,2019-10-23 12:31:00,2019-10-23 14:10:00,2019-10-23 18:16:00,2019-10-23 21:19:00,2019-10-24 14:48:00,2019-10-25 09:40:00
2019-10-23,n02,2019-10-23 12:32:00,2019-10-23 14:14:00,2019-10-23 18:23:00,2019-10-23 21:21:00,2019-10-24 14:50:00,2019-10-25 09:42:00
2019-10-23,n03,2019-10-23 12:32:00,2019-10-23 14:17:00,2019-10-23 18:25:00,2019-10-23 21:24:00,2019-10-24 14:52:00,2019-10-25 09:45:00
2019-10-23,n04,2019-10-23 12:33:00,2019-10-23 14:20:00,2019-10-23 18:28:00,2019-10-23 21:26:00,2019-10-24 14:54:00,2019-10-25 09:47:00
2019-10-23,n05,2019-10-23 12:34:00,2019-10-23 14:22:00,2019-10-23 18:31:00,2019-10-23 21:29:00,2019-10-24 14:57:00,2019-10-25 09:50:00
2019-10-23,n06,2019-10-23 12:32:00,2019-10-23 14:25:00,2019-10-23 18:34:00,2019-10-23 21:31:00,2019-10-24 14:59:00,2019-10-25 09:52:00
2019-10-23,n07,2019-10-23 12:34:00,2019-10-23 14:28:00,2019-10-23 18:36:00,2019-10-23 21:34:00,2019-10-24 15:02:00,2019-10-25 09:54:00
2019-10-23,n08,2019-10-23 12:34:00,2019-10-23 14:37:00,2019-10-23 18:39:00,2019-10-23 21:36:00,2019-10-24 15:04:00,2019-10-25 09:57:00
2019-10-23,n09,2019-10-23 12:35:00,2019-10-23 14:40:00,2019-10-23 18:42:00,2019-10-23 21:39:00,2019-10-24 15:07:00,2019-10-25 10:00:00
2019-10-23,n10,2019-10-23 12:35:00,2019-10-23 14:43:00,2019-10-23 18:44:00,2019-10-23 21:42:00,2019-10-24 15:09:00,2019-10-25 10:02:00
2019-10-23,n11,2019-10-23 12:36:00,2019-10-23 14:45:00,2019-10-23 18:46:00,2019-10-23 21:44:00,2019-10-24 15:12:00,2019-10-25 10:05:00
2019-10-23,n12,2019-10-23 12:36:00,2019-10-23 14:47:00,2019-10-23 18:49:00,2019-10-23 21:46:00,2019-10-24 15:17:00,2019-10-25 10:07:00
2019-10-23,p01,2019-10-23 12:36:00,2019-10-23 14:52:00,2019-10-23 18:51:00,2019-10-23 21:49:00,2019-10-24 15:19:00,2019-10-25 10:09:00
2019-10-23,p02,2019-10-23 12:36:00,2019-10-23 14:54:00,2019-10-23 18:55:00,2019-10-23 21:51:00,2019-10-24 15:21:00,2019-10-25 10:12:00
2019-10-23,p03,2019-10-23 12:37:00,2019-10-23 14:57:00,2019-10-23 18:58:00,2019-10-23 21:54:00,2019-10-24 15:24:00,2019-10-25 10:15:00
2019-10-23,p04,2019-10-23 12:37:00,2019-10-23 15:00:00,2019-10-23 19:00:00,2019-10-23 21:56:00,2019-10-24 15:27:00,2019-10-25 10:17:00
2019-10-23,p05,2019-10-23 12:37:00,2019-10-23 15:03:00,2019-10-23 19:02:00,2019-10-23 21:58:00,2019-10-24 15:29:00,2019-10-25 10:20:00
2019-10-23,p07,2019-10-23 12:38:00,2019-10-23 15:09:00,2019-10-23 19:05:00,2019-10-23 22:00:00,2019-10-24 15:32:00,2019-10-25 10:22:00
2019-10-23,p08,2019-10-23 12:38:00,2019-10-23 15:12:00,2019-10-23 19:08:00,2019-10-23 22:05:00,2019-10-24 15:34:00,2019-10-25 10:24:00
2019-10-23,p10,2019-10-23 12:39:00,2019-10-23 15:17:00,2019-10-23 19:11:00,2019-10-23 22:08:00,2019-10-24 15:36:00,2019-10-25 10:27:00
2019-10-23,p11,2019-10-23 12:40:00,2019-10-23 15:20:00,2019-10-23 19:14:00,2019-10-23 22:11:00,2019-10-24 15:39:00,2019-10-25 10:29:00
2019-10-23,p12,2019-10-23 12:40:00,2019-10-23 15:22:00,2019-10-23 19:16:00,2019-10-23 22:14:00,2019-10-24 15:41:00,2019-10-25 10:32:00
2019-11-19,n01,2019-11-19 11:44:00,2019-11-19 11:59:00,2019-11-19 15:36:00,2019-11-19 18:57:00,2019-11-20 11:59:00,2019-11-21 10:46:00
2019-11-19,n02,2019-11-19 11:45:00,2019-11-19 12:03:00,2019-11-19 15:38:00,2019-11-19 19:00:00,2019-11-20 12:02:00,2019-11-21 10:48:00
2019-11-19,n03,2019-11-19 11:45:00,2019-11-19 12:05:00,2019-11-19 14:45:00,2019-11-19 19:02:00,2019-11-20 12:04:00,2019-11-21 10:50:00
2019-11-19,n04,2019-11-19 11:45:00,2019-11-19 12:17:00,2019-11-19 14:47:00,2019-11-19 19:05:00,2019-11-20 12:06:00,2019-11-21 10:53:00
2019-11-19,n05,2019-11-19 11:46:00,2019-11-19 12:20:00,2019-11-19 15:50:00,2019-11-19 19:07:00,2019-11-20 12:08:00,2019-11-21 10:55:00
2019-11-19,n06,2019-11-19 11:46:00,2019-11-19 12:22:00,2019-11-19 15:52:00,2019-11-19 19:11:00,2019-11-20 12:11:00,2019-11-21 10:58:00
2019-11-19,n07,2019-11-19 11:47:00,2019-11-19 12:25:00,2019-11-19 15:54:00,2019-11-19 19:13:00,2019-11-20 12:14:00,2019-11-21 11:00:00
2019-11-19,n08,2019-11-19 11:47:00,2019-11-19 12:27:00,2019-11-19 16:00:00,2019-11-19 19:15:00,2019-11-20 12:16:00,2019-11-21 11:02:00
2019-11-19,n09,2019-11-19 11:48:00,2019-11-19 12:30:00,2019-11-19 16:02:00,2019-11-19 19:17:00,2019-11-20 12:19:00,2019-11-21 11:05:00
2019-11-19,n10,2019-11-19 11:48:00,2019-11-19 12:32:00,2019-11-19 16:05:00,2019-11-19 19:19:00,2019-11-20 12:21:00,2019-11-21 11:07:00
2019-11-19,n11,2019-11-19 11:48:00,2019-11-19 12:34:00,2019-11-19 16:07:00,2019-11-19 19:22:00,2019-11-20 12:24:00,2019-11-21 11:10:00
2019-11-19,n12,2019-11-19 11:49:00,2019-11-19 12:37:00,2019-11-19 16:09:00,2019-11-19 19:24:00,2019-11-20 12:26:00,2019-11-21 11:12:00
2019-11-19,p01,2019-11-19 11:49:00,2019-11-19 12:39:00,2019-11-19 16:11:00,2019-11-19 19:27:00,2019-11-20 12:29:00,2019-11-21 11:14:00
2019-11-19,p02,2019-11-19 11:51:00,2019-11-19 12:42:00,2019-11-19 16:15:00,2019-11-19 19:30:00,2019-11-20 12:31:00,2019-11-21 11:16:00
2019-11-19,p03,2019-11-19 11:52:00,2019-11-19 12:45:00,2019-11-19 16:18:00,2019-11-19 19:32:00,2019-11-20 12:33:00,2019-11-21 11:19:00
2019-11-19,p04,2019-11-19 11:52:00,2019-11-19 12:47:00,2019-11-19 16:21:00,2019-11-19 19:34:00,2019-11-20 12:36:00,2019-11-21 11:21:00
2019-11-19,p05,2019-11-19 11:52:00,2019-11-19 12:50:00,2019-11-19 16:24:00,2019-11-19 19:36:00,2019-11-20 12:38:00,2019-11-21 11:24:00
2019-11-19,p06,2019-11-19 11:53:00,2019-11-19 12:52:00,2019-11-19 16:26:00,2019-11-19 19:39:00,2019-11-20 12:40:00,2019-11-21 11:27:00
2019-11-19,p07,2019-11-19 11:53:00,2019-11-19 12:54:00,2019-11-19 16:29:00,2019-11-19 19:41:00,2019-11-20 12:43:00,2019-11-21 11:29:00
2019-11-19,p08,2019-11-19 11:54:00,2019-11-19 12:56:00,2019-11-19 16:31:00,2019-11-19 19:43:00,2019-11-20 12:45:00,2019-11-21 11:32:00
2019-11-19,p09,2019-11-19 11:54:00,2019-11-19 12:59:00,2019-11-19 16:33:00,2019-11-19 19:45:00,2019-11-20 12:47:00,2019-11-21 11:34:00
2019-11-19,p10,2019-11-19 11:55:00,2019-11-19 13:01:00,2019-11-19 16:36:00,2019-11-19 19:48:00,2019-11-20 12:50:00,2019-11-21 11:36:00
2019-11-19,p11,2019-11-19 11:55:00,2019-11-19 13:03:00,2019-11-19 16:39:00,2019-11-19 19:50:00,2019-11-20 12:52:00,2019-11-21 11:39:00
2019-11-19,p12,2019-11-19 11:56:00,2019-11-19 13:05:00,2019-11-19 16:41:00,2019-11-19 19:53:00,2019-11-20 12:54:00,2019-11-21 11:41:00
2019-12-10,p01,2019-12-10 13:17:00,2019-12-10 13:34:00,2019-12-10 16:24:00,2019-12-11 12:19:00,2019-12-11 15:48:00,
2019-12-10,p02,2019-12-10 13:17:00,2019-12-10 13:37:00,2019-12-10 16:27:00,2019-12-11 12:22:00,2019-12-11 15:50:00,
2019-12-10,p03,2019-12-10 13:18:00,2019-12-10 13:40:00,2019-12-10 16:29:00,2019-12-11 12:26:00,2019-12-11 15:52:00,
2019-12-10,p04,2019-12-10 13:18:00,2019-12-10 13:44:00,2019-12-10 16:32:00,2019-12-11 12:28:00,2019-12-11 15:55:00,
2019-12-10,p05,2019-12-10 13:18:00,2019-12-10 13:48:00,2019-12-10 16:34:00,2019-12-11 12:31:00,2019-12-11 15:57:00,
2019-12-10,p06,2019-12-10 13:19:00,2019-12-10 13:52:00,2019-12-10 16:37:00,2019-12-11 12:33:00,2019-12-11 16:06:00,
2019-12-10,p07,2019-12-10 13:20:00,2019-12-10 13:55:00,2019-12-10 16:40:00,2019-12-11 12:37:00,2019-12-11 16:08:00,
2019-12-10,p08,2019-12-10 13:20:00,2019-12-10 13:58:00,2019-12-10 16:43:00,2019-12-11 12:40:00,2019-12-11 16:10:00,
2019-12-10,p09,2019-12-10 13:21:00,2019-12-10 14:02:00,2019-12-10 16:47:00,2019-12-11 12:42:00,2019-12-11 16:13:00,
2019-12-10,p10,2019-12-10 13:22:00,2019-12-10 14:05:00,2019-12-10 16:50:00,2019-12-11 12:45:00,2019-12-11 16:15:00,
2019-12-10,p11,2019-12-10 13:22:00,2019-12-10 14:08:00,2019-12-10 16:53:00,2019-12-11 12:47:00,2019-12-11 16:18:00,
2019-12-10,p12,2019-12-10 13:22:00,2019-12-10 14:11:00,2019-12-10 16:56:00,2019-12-11 12:49:00,2019-12-11 16:20:00,
2019-12-10,n01,2019-12-10 13:23:00,2019-12-10 14:13:00,2019-12-10 16:58:00,2019-12-11 12:52:00,2019-12-11 16:24:00,
2019-12-10,n02,2019-12-10 13:24:00,2019-12-10 14:17:00,2019-12-10 17:02:00,2019-12-11 12:54:00,2019-12-11 16:26:00,
2019-12-10,n03,2019-12-10 13:24:00,2019-12-10 14:20:00,2019-12-10 17:04:00,2019-12-11 12:57:00,2019-12-11 16:29:00,
2019-12-10,n04,2019-12-10 13:25:00,2019-12-10 14:22:00,2019-12-10 17:07:00,2019-12-11 13:55:00,2019-12-11 16:31:00,
2019-12-10,n05,2019-12-10 13:28:00,2019-12-10 14:25:00,2019-12-10 17:10:00,2019-12-11 13:57:00,2019-12-11 16:33:00,
2019-12-10,n06,2019-12-10 13:29:00,2019-12-10 14:28:00,2019-12-10 17:13:00,2019-12-11 14:00:00,2019-12-11 16:37:00,
2019-12-10,n07,2019-12-10 13:29:00,2019-12-10 14:30:00,2019-12-10 17:17:00,2019-12-11 14:02:00,2019-12-11 16:39:00,
2019-12-10,n08,2019-12-10 13:30:00,2019-12-10 14:33:00,2019-12-10 17:22:00,2019-12-11 14:04:00,2019-12-11 16:42:00,
2019-12-10,n09,2019-12-10 13:31:00,2019-12-10 14:36:00,2019-12-10 17:25:00,2019-12-11 14:06:00,2019-12-11 16:45:00,
2019-12-10,n10,2019-12-10 13:31:00,2019-12-10 14:39:00,2019-12-10 17:27:00,2019-12-11 14:09:00,2019-12-11 16:48:00,
2019-12-10,n11,2019-12-10 13:32:00,2019-12-10 14:42:00,2019-12-10 17:30:00,2019-12-11 14:11:00,2019-12-11 16:51:00,
2019-12-10,n12,2019-12-10 13:33:00,2019-12-10 14:45:00,2019-12-10 17:33:00,2019-12-11 14:14:00,2019-12-11 16:53:00,
2020-03-09,p01,,2020-03-09 13:11:00,2020-03-09 16:53:00,2020-03-10 12:13:00,2020-03-10 16:54:00,2020-03-11 12:19:00
2020-03-09,p02,,2020-03-09 13:14:00,2020-03-09 16:55:00,2020-03-10 12:15:00,2020-03-10 16:59:00,2020-03-11 12:22:00
2020-03-09,p03,,2020-03-09 13:16:00,2020-03-09 16:58:00,2020-03-10 12:19:00,2020-03-10 17:02:00,2020-03-11 12:28:00
2020-03-09,p04,,2020-03-09 13:18:00,2020-03-09 17:01:00,2020-03-10 12:22:00,2020-03-10 17:05:00,2020-03-11 12:31:00
2020-03-09,p05,,2020-03-09 13:21:00,2020-03-09 17:03:00,2020-03-10 12:25:00,2020-03-10 17:08:00,2020-03-11 12:35:00
2020-03-09,p06,,2020-03-09 13:23:00,2020-03-09 17:06:00,2020-03-10 12:29:00,2020-03-10 17:11:00,2020-03-11 12:40:00
2020-03-09,p07,,2020-03-09 13:26:00,2020-03-09 17:08:00,2020-03-10 12:31:00,2020-03-10 17:14:00,2020-03-11 12:47:00
2020-03-09,p08,,2020-03-09 13:29:00,2020-03-09 17:11:00,2020-03-10 12:35:00,2020-03-10 17:17:00,2020-03-11 12:52:00
2020-03-09,p09,,2020-03-09 13:31:00,2020-03-09 17:14:00,2020-03-10 12:37:00,2020-03-10 17:21:00,2020-03-11 12:56:00
2020-03-09,p10,,2020-03-09 13:33:00,2020-03-09 17:16:00,2020-03-10 12:40:00,2020-03-10 17:24:00,2020-03-11 13:00:00
2020-03-09,p11,,2020-03-09 13:36:00,2020-03-09 17:19:00,2020-03-10 12:45:00,2020-03-10 17:27:00,2020-03-11 13:03:00
2020-03-09,p12,,2020-03-09 13:38:00,2020-03-09 17:21:00,2020-03-10 12:47:00,2020-03-10 17:31:00,2020-03-11 13:06:00
2020-03-09,n01,,2020-03-09 13:41:00,2020-03-09 17:24:00,2020-03-10 12:50:00,2020-03-10 17:35:00,2020-03-11 13:09:00
2020-03-09,n02,,2020-03-09 13:43:00,2020-03-09 17:26:00,2020-03-10 12:53:00,2020-03-10 17:38:00,2020-03-11 13:13:00
2020-03-09,n03,,2020-03-09 13:45:00,2020-03-09 17:30:00,2020-03-10 12:55:00,2020-03-10 17:41:00,2020-03-11 13:17:00
2020-03-09,n04,,2020-03-09 13:52:00,2020-03-09 17:33:00,2020-03-10 12:58:00,2020-03-10 17:45:00,2020-03-11 13:21:00
2020-03-09,n05,,2020-03-09 13:54:00,2020-03-09 17:35:00,2020-03-10 13:02:00,2020-03-10 17:48:00,2020-03-11 13:26:00
2020-03-09,n06,,2020-03-09 13:57:00,2020-03-09 17:38:00,2020-03-10 13:05:00,2020-03-10 17:52:00,2020-03-11 13:31:00
2020-03-09,n07,,2020-03-09 13:59:00,2020-03-09 17:41:00,2020-03-10 13:08:00,2020-03-10 17:55:00,2020-03-11 13:35:00
2020-03-09,n08,,2020-03-09 14:01:00,2020-03-09 17:43:00,2020-03-10 13:11:00,2020-03-10 17:59:00,2020-03-11 13:38:00
2020-03-09,n09,,2020-03-09 14:04:00,2020-03-09 17:46:00,2020-03-10 13:14:00,2020-03-10 18:03:00,2020-03-11 13:43:00
2020-03-09,n10,,2020-03-09 14:06:00,2020-03-09 17:48:00,2020-03-10 13:17:00,2020-03-10 18:09:00,2020-03-11 13:47:00
2020-03-09,n11,,2020-03-09 14:09:00,2020-03-09 17:51:00,2020-03-10 13:21:00,2020-03-10 18:06:00,2020-03-11 13:50:00
2020-03-09,n12,,2020-03-09 14:11:00,2020-03-09 17:54:00,2020-03-10 13:23:00,2020-03-10 18:13:00,2020-03-11 13:54:00
